,zip,gentrification_score,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
0,30004,107,34.145614,-84.291894,300436.79069767444,-0.5186322024500728,"Atlanta, GA",7.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,49629.0,35457.0,71.4,3.0,1906.0,5.5
1,30005,32,34.089039,-84.217099,640000.0,0.032258064516129,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,29699.0,21511.0,72.4,3.5,1096.0,5.3
2,30009,68,34.079096,-84.305262,451716.6666666666,-0.2258210256305208,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,13595.0,9332.0,68.6,5.2,431.0,4.9
3,30022,47,34.029865,-84.239745,554450.0,0.0182736455463727,"Atlanta, GA",7.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,53189.0,37898.0,71.3,4.4,1815.0,5.0
4,30024,126,34.062971,-84.09077,234340.0,-0.2971724666582886,"Atlanta, GA",6.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,59001.0,40650.0,68.9,3.6,1224.0,3.1
5,30032,108,33.740666,-84.264463,293021.978021978,0.2379333563153046,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,39622.0,24123.0,60.9,11.4,624.0,2.9
6,30076,120,34.028483,-84.311423,259000.0,-0.4296226673846947,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,35964.0,26474.0,73.6,3.1,769.0,3.0
7,30092,55,33.972386,-84.231986,515000.0,0.0684647302904564,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,28369.0,20355.0,71.8,3.3,879.0,4.5
8,30097,42,34.026142,-84.145592,575001.0,-0.0650390243902439,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,37148.0,25190.0,67.8,4.5,944.0,3.9
9,30213,141,33.589298,-84.636766,129200.0,-0.5614773507206589,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,25159.0,18059.0,71.8,4.5,591.0,3.4
10,30268,79,33.54643,-84.722632,417060.1851851852,0.5125156953375773,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,7968.0,4627.0,58.1,7.0,54.0,1.3
11,30291,144,33.575891,-84.543792,107415.3846153846,-0.6078807528312096,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,15739.0,10852.0,68.9,7.1,151.0,1.5
12,30296,134,33.563185,-84.441151,171805.0,-0.2418700980392158,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,21592.0,14328.0,66.4,8.6,233.0,1.8
13,30303,41,33.753259,-84.389953,583777.7777777778,0.9382716049382714,"Atlanta, GA",5.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,6580.0,2704.0,41.1,17.8,111.0,5.0
14,30305,15,33.835696,-84.389116,976276.9230769232,0.1680925102219809,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,20968.0,14950.0,71.3,1.2,580.0,3.9
15,30306,26,33.789323,-84.351498,710273.4375,-0.0509327677088959,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,19989.0,15517.0,77.6,3.2,712.0,4.7
16,30307,88,33.771079,-84.3336,376081.5217391304,-0.0125978070952874,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,16729.0,12924.0,77.3,4.5,563.0,4.6
17,30308,43,33.771126,-84.378108,574987.8048780488,0.5549934469200524,"Atlanta, GA",5.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,17798.0,13945.0,78.4,3.5,605.0,4.5
18,30309,104,33.799884,-84.385805,320066.6666666666,-0.6468850397830924,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,24113.0,19286.0,80.0,2.2,718.0,3.8
19,30310,105,33.726586,-84.425995,315000.0,-0.015625,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,22620.0,14770.0,65.3,10.0,315.0,2.4
20,30311,139,33.723262,-84.475994,131723.6,-0.6371274383476744,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,28836.0,16360.0,56.7,13.2,417.0,2.9
21,30312,46,33.744725,-84.375231,564556.9620253164,0.1258148491621419,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,20516.0,15379.0,75.0,3.7,975.0,6.6
22,30313,17,33.764539,-84.397339,896055.5555555555,1.7708760683760687,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,11048.0,4900.0,44.4,12.9,81.0,1.9
23,30314,117,33.757576,-84.432245,269500.0,0.7966666666666666,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,20723.0,10188.0,49.2,11.8,175.0,1.9
24,30317,143,33.747999,-84.315586,112652.17391304346,-0.6245614035087719,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,10723.0,7866.0,73.4,5.2,308.0,4.1
25,30318,71,33.792303,-84.447862,445000.0,-0.115797714386766,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,46856.0,30020.0,64.1,6.5,1334.0,4.8
26,30319,25,33.875954,-84.334763,739176.4705882353,0.0252169165958104,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,35680.0,26473.0,74.2,2.7,1190.0,4.6
27,30324,30,33.818405,-84.358175,656285.7142857143,-0.0031211872894473,"Atlanta, GA",5.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,25413.0,20283.0,79.8,2.0,984.0,5.0
28,30326,13,33.849518,-84.363971,1067807.142857143,1.2232081632653062,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,6268.0,4913.0,78.4,4.9,120.0,2.6
29,30327,29,33.869694,-84.4173,686666.6666666666,-0.3250905691246932,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,18272.0,10965.0,60.0,3.3,456.0,4.3
30,30328,44,33.932538,-84.385947,571362.5,-0.0646132366920152,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,31880.0,22466.0,70.5,1.8,1009.0,4.6
31,30331,119,33.707455,-84.544149,261518.1739130435,-0.0028795500802923,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,51269.0,32096.0,62.6,9.8,767.0,2.7
32,30336,131,33.738366,-84.567535,187500.0,-0.0848375443090461,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,261.0,117.0,44.8,21.4,0.0,0.0
33,30337,97,33.640147,-84.450081,350060.0,0.0401454988273498,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,9858.0,6608.0,67.0,6.0,146.0,2.4
34,30338,48,33.946218,-84.318119,543990.0,0.8461247231558304,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,27348.0,18225.0,66.6,3.4,827.0,4.7
35,30339,76,33.87632,-84.46209,427500.0,-0.3914361001317523,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,21672.0,17246.0,79.6,2.9,455.0,2.7
36,30342,18,33.882179,-84.375289,885344.0,-0.1675185707569346,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,24042.0,18366.0,76.4,2.8,860.0,4.8
37,30349,113,33.622488,-84.523908,280000.0,0.1914893617021276,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,57477.0,40232.0,70.0,8.8,893.0,2.4
38,30350,146,33.980254,-84.330016,51611.76470588235,-0.8177353170015842,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,32620.0,25056.0,76.8,4.4,1065.0,4.5
39,30354,124,33.661498,-84.386895,235000.0,0.0609480812641083,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,12155.0,8422.0,69.3,8.3,182.0,2.4
40,33010,82,25.833202,-80.27872,397500.0,0.0488126649076516,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,39061.0,22276.0,57.0,5.2,385.0,1.8
41,33012,102,25.866106,-80.301115,325000.0,-0.2155299173443358,"Miami, FL",3.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,63380.0,34313.0,54.1,4.7,408.0,1.2
42,33013,116,25.86219,-80.269677,274653.8461538461,-0.328950979472589,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,27550.0,15722.0,57.1,4.4,112.0,0.7
43,33014,52,25.9031,-80.302654,526833.3333333334,0.2170238103907894,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,34802.0,20990.0,60.3,4.6,502.0,2.5
44,33015,77,25.940565,-80.31818,428490.3846153846,0.1894840591989286,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,54309.0,36324.0,66.9,5.0,663.0,1.9
45,33018,130,25.917734,-80.384416,199968.75,-0.4837359289180543,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,43761.0,30768.0,70.3,3.3,674.0,2.3
46,33030,87,25.485147,-80.510882,382625.0,0.1420706280948657,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,25103.0,16508.0,65.8,4.8,97.0,0.6
47,33031,28,25.524982,-80.500875,690000.0,-0.0308988764044944,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,5580.0,3817.0,68.4,3.6,66.0,1.8
48,33032,84,25.531517,-80.3908,392117.1875,0.0966225287982564,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,36983.0,25523.0,69.0,7.8,449.0,1.9
49,33033,93,25.481199,-80.414925,370400.0,0.0751814223512337,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,42059.0,27423.0,65.2,8.6,314.0,1.3
50,33034,118,25.274332,-80.632552,269414.6341463415,-0.5130000166618331,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,15295.0,7712.0,50.4,12.0,29.0,0.4
51,33035,94,25.409275,-80.384155,365000.0,0.0,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,11960.0,8552.0,71.5,8.2,23.0,0.3
52,33054,136,25.908575,-80.265122,167276.7857142857,0.034809608215094,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,24870.0,13224.0,53.2,9.6,248.0,2.1
53,33055,127,25.948468,-80.278855,234729.41176470587,-0.2116708482718224,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,33233.0,18594.0,56.0,5.5,440.0,2.5
54,33056,75,25.948877,-80.243582,431000.0,0.2902704586865602,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,27975.0,16418.0,58.7,11.1,364.0,2.5
55,33109,1,25.756717,-80.140066,11565724.489795918,5.77844452926941,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,392.0,153.0,39.0,0.0,0.0,0.0
56,33122,14,25.794856,-80.288375,1035000.0,-0.059090909090909,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,162.0,89.0,54.9,0.0,0.0,0.0
57,33125,109,25.783849,-80.23609,294531.25,0.0064826295460695,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,51745.0,28277.0,54.6,4.0,484.0,1.8
58,33126,95,25.7794,-80.299475,363166.6666666667,-0.1655974132498183,"Miami, FL",6.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,45566.0,28675.0,62.9,4.6,478.0,1.7
59,33127,92,25.813175,-80.205808,371642.2018348624,-0.2595186943893781,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,25056.0,14650.0,58.5,10.9,140.0,1.1
60,33129,85,25.750167,-80.190028,388750.92,-0.4060091103171837,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,11679.0,8541.0,73.1,3.6,250.0,3.0
61,33130,74,25.768524,-80.203359,433428.5714285714,0.3459998564970941,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,26191.0,16923.0,64.6,3.2,438.0,2.7
62,33131,20,25.766206,-80.182897,844736.8421052633,5.824405476819603,"Miami, FL",3.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,16367.0,13300.0,81.3,2.8,520.0,4.0
63,33134,16,25.753332,-80.270379,935000.0,0.0388888888888889,"Miami, FL",2.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,34176.0,22045.0,64.5,2.7,695.0,3.2
64,33135,73,25.766544,-80.235095,433461.5384615384,0.1220313796888804,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,33116.0,19338.0,58.4,7.6,210.0,1.2
65,33137,7,25.816281,-80.171528,1410000.0,0.1058823529411765,"Miami, FL",2.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,19642.0,14426.0,73.4,4.4,612.0,4.4
66,33138,4,25.853764,-80.178006,1991345.238095238,3.863776915724968,"Miami, FL",4.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,24688.0,16988.0,68.8,7.0,718.0,4.5
67,33139,3,25.779808,-80.1532,3761363.636363636,0.4230871495771794,"Miami, FL",5.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,34587.0,24913.0,72.0,4.0,770.0,3.2
68,33140,5,25.819714,-80.133711,1990000.0,0.0440713536201469,"Miami, FL",3.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,16472.0,10236.0,62.1,3.2,249.0,2.5
69,33141,96,25.851854,-80.138726,362272.7272727273,-0.580957948803608,"Miami, FL",1.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,34515.0,24834.0,72.0,3.4,544.0,2.3
70,33142,135,25.812043,-80.238614,168076.92307692306,-0.6465560583207642,"Miami, FL",0.0,Computer and Mathematical Occupations,58580.0,23.36,84950.0,77630.0,miami_2019,45872.0,26551.0,57.9,9.0,275.0,1.1
